org_key,year,event_key,team_key,driveBaseType,Length,Width,Weight,doAuto,numCoralAuto,numAlgaeAuto,numAutoRoutines,canScoreAutoL1,canScoreAutoL2,canScoreAutoL3,canScoreAutoL4,canScoreAutoProcessor,canScoreAutoNet,StartProcess,StartCenter,StartFar,describeAuto,doAutoCodeTeleop,autoCodeTeleopcoral,canPickupCoralGround,canPickupCoralFeedstation,canPickupAlgaeground,canPickupAlgaeReef,canScoreAlgaeProcessor,canScoreAlgaeNet,canScoreCoralL1,canScoreCoralL2,canScoreCoralL3,canScoreCoralL4,CageClimb,robotGrade,preferredStrategy,notes
steelcity,2025,2025mil,frc58,"Swerve","29","29","115","1","3","2","3","0","0","0","1","0","1","1","1","1","","1","April tags","0","1","1","1","1","1","1","1","1","1","Deep Climb","A","Mainly coral, knock algae",""
steelcity,2025,2025mil,frc118,"Swerve","29","29","115","1","4","2","3","0","0","0","1","0","1","1","1","1","2-3 L4 ","1","Limelight","1","1","1","1","1","1","1","1","1","1","Deep Climb","A","Various playing strategies ","Seems really nice and seem like they are willing to do anything "
steelcity,2025,2025mil,frc167,"Swerve","28","28","115","1","4","0","5","1","1","1","1","0","0","1","1","1","4 piece L4","1","Photon vision","0","1","0","1","1","1","1","1","1","1","Deep Climb","B","Coral start L4 and work down and Algae in the barge ",""
steelcity,2025,2025mil,frc217,"Swerve","27","27","115","1","2","0","3","0","0","0","1","0","0","1","1","1","2 L4 when on the sides and 1 L4 in middle","1","Vision align","0","1","1","1","1","0","1","1","1","1","Deep Climb","B","Remove algae and cycle coral ",""
steelcity,2025,2025mil,frc254,"Swerve","30","30","115","1","5","0","5","0","0","1","1","0","0","1","1","0","Score 5 coral and pick up an algae","1","Auto alignment ","1","1","1","1","1","1","1","1","1","1","Deep Climb","A","Get all algae in net then coral",""
steelcity,2025,2025mil,frc321,"Swerve","29","29","115","1","0","0","3","0","0","0","1","0","0","1","1","1","2 L4 when on the sides and 1 L4 in the middle ","0","","0","1","0","1","0","0","1","1","1","1","Deep Climb","B","Top down of reef then hang",""
steelcity,2025,2025mil,frc324,"Swerve","29","29","115","1","2","1","9","0","0","0","1","1","0","1","1","1","L4 and processor ","0","","1","1","1","1","1","0","1","1","1","1","Deep Climb","B","Flood the ground and L1",""
steelcity,2025,2025mil,frc456,"Swerve","33","26","105","1","1","0","2","0","0","0","1","0","0","1","1","1","side autos aren’t working but might be 2 L4; middle 1 L4","0","","0","1","0","0","0","0","0","1","1","1","Deep Climb","C","score coral; ranking points; 2 coral in endgame then hang",""
steelcity,2025,2025mil,frc503,"Swerve","30","30","110","1","4","2","3","0","0","0","1","0","1","1","1","1","Either a 3-4 piece coral and/or a 2 piece algae in the net ","1","Sensors","1","1","1","1","1","1","1","1","1","1","Deep Climb","A","Mainly coral but algae if good other coral bot ",""
steelcity,2025,2025mil,frc587,"Swerve","27","27","60","1","3","0","3","0","0","0","1","0","0","1","1","1","2 L4 from center 3 L4 from sides","1","Limelight","0","1","0","1","1","0","1","1","1","1","Deep Climb","B","Cycle coral",""
steelcity,2025,2025mil,frc876,"Swerve","28","28","115","1","3","0","3","0","0","1","0","0","0","1","1","1","","1","Proximity detection","0","1","1","1","1","1","0","1","1","1","Deep Climb","A","Ranking points",""
steelcity,2025,2025mil,frc910,"Swerve","20","30","115","1","3","2","20","1","1","1","1","0","1","1","1","1","","1","Limelight","0","1","0","1","1","1","1","1","1","1","Deep Climb","A","Coral and algae in the barge ",""
steelcity,2025,2025mil,frc957,"Swerve","28","28","110","1","3","0","10","0","1","0","1","0","0","1","1","0","3 L4 and can remove a coral","1","April tags","0","1","0","1","0","0","1","1","1","1","Deep Climb","C","OffenseGo for the rank point only if the game is in our favor ",""
steelcity,2025,2025mil,frc1023,"Swerve","27","27","115","1","3","2","3","0","0","0","1","0","1","1","1","1","L4","1","Limelight ","1","0","1","1","1","1","1","1","1","1","Deep Climb","B","Ranking points, then highest coral points ","10-15 seconds to climb"
steelcity,2025,2025mil,frc1086,"Swerve","28","28","115","1","3","1","0","0","0","0","1","0","1","1","0","0","3 L4 on the sides 1 L4 and 1 net in the middle ","1","Photo visuals ","1","1","0","1","1","1","1","1","1","1","Deep Climb","B","Depends on alliance members",""
steelcity,2025,2025mil,frc1318,"Swerve","28","28","115","1","2","0","3","0","0","0","1","0","0","1","1","1","2 L4 on the sides 1 L4 in the middle ","1","Vision","0","1","0","1","0","1","1","1","1","1","Deep Climb","B","They try to fill coral as fast as possible ",""
steelcity,2025,2025mil,frc1468,"Swerve","28","28","115","1","3","2","3","0","0","0","1","0","1","1","1","1","","1","Cameras ","0","1","0","1","0","1","1","1","1","1","Deep Climb","A","Fill the reef mostly L3 and 4",""
steelcity,2025,2025mil,frc1477,"Swerve","28","28","115","1","2","3","6","0","0","0","1","0","1","1","0","1","2 L4","1","Lining up","1","1","0","1","1","1","1","1","1","1","Deep Climb","C","Place coral and pick up algae ",""
steelcity,2025,2025mil,frc1640,"Swerve","30","30","115","1","3","1","4","0","0","0","1","1","0","1","0","1","","1","Limelight ardicams","0","1","1","1","1","0","1","1","1","1","Deep Climb","B","Start at L4 and work their way down and coop ",""
steelcity,2025,2025mil,frc1683,"Swerve","28","28","100","1","3","0","0","0","0","0","1","0","0","1","1","1","3 L4 on the sides 1 L4 and remove an algae in middle ","1","Auto align","0","1","1","1","1","1","1","1","1","1","Deep Climb","B","L4 and algae ",""
steelcity,2025,2025mil,frc1741,"Swerve","32","28","115","1","3","1","6","0","1","0","1","0","1","1","0","1","Coral and net","1","Auto align","1","0","1","1","1","1","1","1","1","1","Cannot Climb","A","Fill up reef",""
steelcity,2025,2025mil,frc1816,"Swerve","16","16","60","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Cannot Climb","A","",""
steelcity,2025,2025mil,frc1942,"Swerve","29","29","115","1","3","0","3","1","1","1","1","0","0","1","1","1","","1","Cameras","0","1","0","1","0","0","1","1","1","1","Deep Climb","A","L4 - L2",""
steelcity,2025,2025mil,frc2137,"Swerve","27","27","115","1","3","0","0","1","1","1","1","0","0","1","1","1","","1","Limelights","0","1","0","1","0","0","1","1","1","1","Deep Climb","B","Coral",""
steelcity,2025,2025mil,frc2145,"Swerve","28","28","110","1","3","0","0","0","0","0","1","0","0","1","1","0","","1","Camera ","0","1","0","1","0","0","0","1","1","1","Deep Climb","C","Cycle coral",""
steelcity,2025,2025mil,frc2240,"Swerve","30","30","110","1","3","1","2","0","0","0","1","0","1","1","1","1","3 L4 on the sides and 1 L4 and 1 net in center","1","Auto alignment ","0","1","1","1","1","1","1","1","1","1","Cannot Climb","A","Cycle L4",""
steelcity,2025,2025mil,frc2337,"Swerve","26","26","115","1","4","4","16","0","0","1","1","1","1","1","0","1","","1","Auto drive","0","1","1","0","1","1","0","1","1","1","Deep Climb","A","Coral",""
steelcity,2025,2025mil,frc2486,"Swerve","16","16","60","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Cannot Climb","A","",""
steelcity,2025,2025mil,frc2720,"Swerve","28","28","115","1","2","0","3","0","0","0","1","0","0","1","1","1","L4","1","Cameras and sensors ","0","1","0","1","0","0","1","1","1","1","Deep Climb","B","Start at L4 and work down ",""
