org_key,year,event_key,team_key,driverYearsOnDriveTeam,humanPlayerYearsOnDriveTeam,coachYearsOnDriveTeam,driveBaseMultiSelect,DrivetrainQuality,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,driveCenterOfGravity,electricalWiring,mechanicalQuality,canPickupCoralGround,canPickupAlgaeground,canPickupCoralFeedstation,canPickupAlgaeReef,ProgrammingLanguage,scoreL1,scoreL2,scoreL3,scoreL4,scoreProcessor,scoreNet,usualStrategy,StartProcess,StartCenter,StartFar,describeAuto,CageClimb,comments
frc4467,2025,2025tnkn,frc21,"4","0","10","Rev Swerve","","29","29","3’6 ","115","Middle (Kinda Top Heavy)","2.5","","0","0","1","1","JavaScript","1","1","1","1","0","0","Score in L4 and L3","0","1","0","A4","Deep",""
frc4467,2025,2025tnkn,frc233,"4","1","5","Rev Swerve","","27","27","41 3/4 in","115","Middle (Kinda Top Heavy)","1","","0","1","1","1","Java ","1","1","1","1","1","0","Fill up L4 and get 2 algae in processor","0","1","0","K4 and G4","Deep","Need to be tested "
frc4467,2025,2025tnkn,frc538,"1","1","1","SDS MK4 LT1","1","29","29","41","96","Middle (Kinda Top Heavy)","3","2","0","0","0","1","Java","0","0","0","0","1","1","Algae off reef and score in the barge and processor and defense if needed","1","1","1","Taxi","Deep",""
frc4467,2025,2025tnkn,frc801,"4","2","10","Custom Swerve","1","30","20","40","113 w/o bumpers and battery","Low (Not top heavy)","1","1","0","1","1","1","Python ","1","1","1","1","1","1","Offense coral algae if needed ","1","0","1","E4, c4 mirrored version as well ","Deep",""
frc4467,2025,2025tnkn,frc1014,"3","0","10","SDS MK4 LT2","1","36","36","36 starting","close to 115","Middle (Kinda Top Heavy)","3","5","0","1","1","1","Java ","1","1","1","1","1","0","“break down and play defense”","0","1","0","mobility, maybe 1 L4","Deep","climb has not been tested yet"
frc4467,2025,2025tnkn,frc1466,"2","1","2","SDS MK4 LT1","1","28","28","40","105","Middle (Kinda Top Heavy)","1","1","0","0","1","1","Java","0","1","1","1","1","1","Cycling clear reef coral","0","1","0","J2","Park",""
frc4467,2025,2025tnkn,frc1592,"3","2","3","SDS MK4 LT1","","28","29","41.5","114.5","Low (Not top heavy)","","","0","1","1","1","Python","1","1","1","1","1","0","Focus on coral from hp","1","1","1","K4 or l4 c4 or d4 a4 or b4","Deep",""
frc4467,2025,2025tnkn,frc1708,"1","1","10","Rev Swerve","","26","27","42","115","Middle (Kinda Top Heavy)","1.2","","0","0","1","1","Java","1","1","1","1","0","0","focus on coral ranking point","1","0","0","IJ 4","Deep",""
frc4467,2025,2025tnkn,frc2393,"0","0","3","Rev Swerve","","26","26","40 in","95 lbs","Low (Not top heavy)","1.3","","0","0","1","1","Java","1","1","1","1","0","0","Fill up L3 and L2","1","1","1","J-E  all levels","Park",""
frc4467,2025,2025tnkn,frc2614,"1","3","1","SDS MK4 LT4","1","28","28","40","110","Middle (Kinda Top Heavy)","1","1","0","1","1","1","Java","1","1","1","1","1","0","L4 down from hp and algae in processor","1","1","1","Non processor side j4 hp k4 hp l4Processor side e4 hp d4","Deep",""
frc4467,2025,2025tnkn,frc2856,"2","3","4","Rev Swerve","2","30","30","75 ","80","Low (Not top heavy)","3","2","1","0","1","0","Java","1","1","1","0","0","0","Coral","1","1","1","F4","Deep","Deep climb “theoretically”"
frc4467,2025,2025tnkn,frc3139,"2","2","2","Rev Swerve","2","29","29","36","70-80","Low (Not top heavy)","3.5","2.5","0","0","1","0","java","1","0","0","0","0","0","coral cycle l1 or defense ","0","0","0","no working auto yet","Park",""
frc4467,2025,2025tnkn,frc3140,"3","1","5","SDS MK4 LT1","","29","29","42","114","Low (Not top heavy)","","","0","1","1","1","Java","0","1","1","1","1","0","Flexible ","1","1","1","Leave line","Park",""
frc4467,2025,2025tnkn,frc3324,"3","2","1","SDS MK4 LT4","1","29","29","40","112","Middle (Kinda Top Heavy)","2","2","0","0","1","1","Java","1","1","1","1","1","0","Hp to l4 work down","1","1","1","Center g4 Non processor side j4 hp l4Processor side f4 hp g4","Park",""
frc4467,2025,2025tnkn,frc3492,"2","2","10","Rev Swerve","","27.5”","25”","41”","107","Middle (Kinda Top Heavy)","1.4","","0","0","1","0","Java","1","1","1","1","0","0","play good offense, willing to play defense start at L4 but fill in where needed","1","1","1","A/B 4","Park",""
